PITCH,REQUIRED_WIDTH,,,,,,,
M0870,5.99,,,,,,,
M0870,7.99,,,,,,,
M0870,9.99,,,,,,,
M0870,11.99,,,,,,,
M0870,13.98,,,,,,,
M0870,15.98,,,,,,,
M0870,17.98,,,,,,,
M0870,19.98,,,,,,,
M0870,21.98,,,,,,,
M0870,23.98,,,,,,,
M0870,25.98,,,,,,,
M0870,27.98,,,,,,,
M0870,29.98,,,,,,,
M0870,31.98,,,,,,,
M0870,33.98,,,,,,,
M0870,35.98,,,,,,,
M0870,37.98,,,,,,,
M0870,39.98,,,,,,,
M0870,41.98,,,,,,,
M0870,43.98,,,,,,,
M0870,45.98,,,,,,,
M0870,47.98,,,,,,,
M0870,49.98,,,,,,,
M0870,51.98,,,,,,,
M0870,53.98,,,,,,,
M0870,55.98,,,,,,,
M0870,57.98,,,,,,,
M0870,59.98,,,,,,,
,,,,,,,,
M1185,11.99,,,,,,,
M1185,13.98,,,,,,,
M1185,15.98,,,,,,,
M1185,17.98,,,,,,,
M1185,19.98,,,,,,,
M1185,21.98,,,,,,,
M1185,23.98,,,,,,,
M1185,25.98,,,,,,,
M1185,27.98,,,,,,,
M1185,29.98,,,,,,,
M1185,31.98,,,,,,,
M1185,33.98,,,,,,,
M1185,35.98,,,,,,,
M1185,37.98,,,,,,,
M1185,39.98,,,,,,,
M1185,41.98,,,,,,,
M1185,43.98,,,,,,,
M1185,45.98,,,,,,,
M1185,47.98,,,,,,,
M1185,49.98,,,,,,,
M1185,51.98,,,,,,,
M1185,53.98,,,,,,,
M1185,55.98,,,,,,,
M1185,57.98,,,,,,,
M1185,59.98,,,,,,,
M1185,61.98,,,,,,,
M1185,63.98,,,,,,,
M1185,65.98,,,,,,,
M1185,67.98,,,,,,,
M1185,69.98,,,,,,,
M1185,71.98,,,,,,,
M1185,73.98,,,,,,,
M1185,75.98,,,,,,,
M1185,77.98,,,,,,,
M1185,79.98,,,,,,,
M1185,81.98,,,,,,,
M1185,83.98,,,,,,,
M1185,85.98,,,,,,,
M1185,87.98,,,,,,,
M1185,89.98,,,,,,,
M1185,91.98,,,,,,,
M1185,93.98,,,,,,,
M1185,95.98,,,,,,,
M1185,97.98,,,,,,,
M1185,99.98,,,,,,,
M1185,101.98,,,,,,,
M1185,103.98,,,,,,,
M1185,105.98,,,,,,,
M1185,107.98,,,,,,,
M1185,109.98,,,,,,,
M1185,111.98,,,,,,,
M1185,113.98,,,,,,,
M1185,115.98,,,,,,,
M1185,117.98,,,,,,,
M1185,119.98,,,,,,,
M1185,121.98,,,,,,,
M1185,123.98,,,,,,,
,,,,,,,,
M1220,1.97,,,,,,,
M1220,2.62,,,,,,,
M1220,3.28,,,,,,,
M1220,3.94,,,,,,,
M1220,4.59,,,,,,,
M1220,5.25,,,,,,,
M1220,5.90,,,,,,,
M1220,6.56,,,,,,,
M1220,7.21,,,,,,,
M1220,7.87,,,,,,,
M1220,8.53,,,,,,,
M1220,9.18,,,,,,,
M1220,9.84,,,,,,,
M1220,10.49,,,,,,,
M1220,11.15,,,,,,,
M1220,11.81,,,,,,,
M1220,12.46,,,,,,,
M1220,13.12,,,,,,,
M1220,13.77,,,,,,,
M1220,14.43,,,,,,,
M1220,15.09,,,,,,,
M1220,15.74,,,,,,,
M1220,16.40,,,,,,,
M1220,17.05,,,,,,,
M1220,17.71,,,,,,,
M1220,18.37,,,,,,,
M1220,19.02,,,,,,,
M1220,19.68,,,,,,,
M1220,20.33,,,,,,,
M1220,20.99,,,,,,,
M1220,21.64,,,,,,,
M1220,22.30,,,,,,,
M1220,22.96,,,,,,,
M1220,23.61,,,,,,,
M1220,24.27,,,,,,,
M1220,24.92,,,,,,,
M1220,25.58,,,,,,,
M1220,26.24,,,,,,,
M1220,26.89,,,,,,,
M1220,27.55,,,,,,,
M1220,28.20,,,,,,,
M1220,28.86,,,,,,,
M1220,29.52,,,,,,,
M1220,30.17,,,,,,,
M1220,30.83,,,,,,,
M1220,31.48,,,,,,,
M1220,32.14,,,,,,,
M1220,32.80,,,,,,,
M1220,33.45,,,,,,,
M1220,34.11,,,,,,,
M1220,34.76,,,,,,,
M1220,35.42,,,,,,,
M1220,36.07,,,,,,,
M1220,36.73,,,,,,,
M1220,37.39,,,,,,,
M1220,38.04,,,,,,,
M1220,38.70,,,,,,,
M1220,39.35,,,,,,,
M1220,40.01,,,,,,,
M1220,40.67,,,,,,,
M1220,41.32,,,,,,,
M1220,41.98,,,,,,,
M1220,42.63,,,,,,,
M1220,43.29,,,,,,,
M1220,43.95,,,,,,,
M1220,44.60,,,,,,,
M1220,45.26,,,,,,,
M1220,45.91,,,,,,,
M1220,46.57,,,,,,,
M1220,47.22,,,,,,,
M1220,47.88,,,,,,,
M1220,48.54,,,,,,,
M1220,49.19,,,,,,,
M1220,49.85,,,,,,,
M1220,50.50,,,,,,,
M1220,51.16,,,,,,,
M1220,51.82,,,,,,,
M1220,52.47,,,,,,,
M1220,53.13,,,,,,,
M1220,53.78,,,,,,,
M1220,54.44,,,,,,,
M1220,55.10,,,,,,,
M1220,55.75,,,,,,,
M1220,56.41,,,,,,,
M1220,57.06,,,,,,,
M1220,57.72,,,,,,,
M1220,58.38,,,,,,,
M1220,59.03,,,,,,,
M1220,59.69,,,,,,,
M1220,60.34,,,,,,,
M1220,61.00,,,,,,,
M1220,61.65,,,,,,,
M1220,62.31,,,,,,,
M1220,62.97,,,,,,,
M1220,63.62,,,,,,,
M1220,64.28,,,,,,,
M1220,64.93,,,,,,,
M1220,65.59,,,,,,,
M1220,66.25,,,,,,,
M1220,66.90,,,,,,,
M1220,67.56,,,,,,,
M1220,68.21,,,,,,,
M1220,68.87,,,,,,,
M1220,69.53,,,,,,,
M1220,70.18,,,,,,,
M1220,70.84,,,,,,,
M1220,71.49,,,,,,,
M1220,72.15,,,,,,,
M1220,72.80,,,,,,,
M1220,73.46,,,,,,,
M1220,74.12,,,,,,,
M1220,74.77,,,,,,,
M1220,75.43,,,,,,,
M1220,76.08,,,,,,,
M1220,76.74,,,,,,,
M1220,77.40,,,,,,,
M1220,78.05,,,,,,,
M1220,78.71,,,,,,,
M1220,79.36,,,,,,,
M1220,80.02,,,,,,,
M1220,80.68,,,,,,,
M1220,81.33,,,,,,,
M1220,81.99,,,,,,,
M1220,82.64,,,,,,,
M1220,83.30,,,,,,,
M1220,83.96,,,,,,,
M1220,84.61,,,,,,,
