Product Name,Belt Type,Style,Type,Sub-Group,Pitch,Width,Technical Data Thickness Inches,Rod Type,Rod Diameter Inches,Rod Hinge,Idle Roller Minimum Inch,Accessories Standard,Accessories Saniclip,Installation flyer standard,Installation flyer special,Installation flyer sprockets,Producing Unit,Portfolio Manager
M0863 Micropitch Cone Top,M0863 Cone Top,Cone Top,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths in increments of 8.0"" (203.2 mm). Non-standard width are offered in increments of 2.0"" (50.8 mm). Smallest possible width 4.0"" (101.6 mm).

Belt widths up to 8"" (203.2 mm) with indent on one side only.",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,"M0800 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M0800_Saniclip.pdf"">PDF </a>","M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0863 Micropitch Cone Top MTW,M0863_MTW Cone Top,Cone Top,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""",For detailed material properties refer to the HabasitLINK® Engineering Guidelines.,0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,,"M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0870 Micropitch Flat Top,M0870 Flat Top,Flat Top,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths in increments 6.0"" (152,4 mm). Non-standard widths are offered in increments of 2.0"" (50.8 mm). Please check the correct sprocket position with your local contact. Smallest possible width 4.0"" (101.6 mm).",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,"M0800 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M0800_Saniclip.pdf"">PDF </a>","M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0870 Micropitch HighGrip-L,M0870 HighGrip,HighGrip,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths with indents on both sides in increments of 4.0"" (101.6 mm) starting from 8"" (203.2 mm). Non-standard widths are offered in increments of 2.0"" (50.8 mm). Smallest possible width 6.0"" (152.4 mm).",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,"M0800 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M0800_Saniclip.pdf"">PDF </a>","M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0873 Micropitch Non Slip,M0873 Non Slip,Non Slip,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths in increments 12.0"" (304.8 mm). Non-standard widths are offered in increments of 2.0"" (50.8 mm). Please check the correct sprocket position with your local contact. Smallest possible width 4.0"" (101.6 mm).",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,,"M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0876 Micropitch Diamond Top,M0876 Micropitch Diamond Top,Micropitch Diamond Top,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths in increments 6.0"" (152,4 mm). Non-standard widths are offered in increments of 2.0"" (50.8 mm). Please check the correct sprocket position with your local contact. Smallest possible width 4.0"" (101.6 mm).",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,"M0800 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M0800_Saniclip.pdf"">PDF </a>","M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
M0885 Micropitch Flush Grid,M0885 Flush Grid,Flush Grid,Straight,"0.3"" M0800 Belt type (straight belts)","0.3""","Standard belt widths in increments 6.0"" (152,4 mm). Non-standard widths are offered in increments of 2.0"" (50.8 mm). Please check the correct sprocket position with your local contact. Smallest possible width 4.0"" (101.6 mm).",0.24,Headless Snap Fit,0.12,Dynamic open hinge,0.24,,"M0800 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_M0800_Saniclip.pdf"">PDF </a>","M0870 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/M0870_en.pdf"">PDF </a>",,,Habasit Italiana S.p.A. (Vittorio Veneto / PMB),Daniel Stein
SM605,SM605 Smooth Mesh,Smooth Mesh,Straight,"0.5"" RS Straight SM605/CM605","0.5""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 2"" (50.8mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.3,Snap Fit,0.17,Closed hinge,0.75,,"SM_CM605 <a href=""https://tdm.habasit.com/tds/instruction_FLYERS/en_us/Instruction_flyer_SM_CM605_Saniclip.pdf"">PDF </a>","SM_CM605 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/SM_CM605_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
HDS605_TT,HDS605TT Texture Top,Texture Top,Straight,"0.5"" RS Straight HDS605","0.5""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 5"" (127mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.3,Snap Fit,0.17,Closed hinge,0.75,,,"TT605_HDS605_HDS610_CVT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/TT605_HDS605_HDS610_CVT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
HDS605_FT,HDS605FT Flat Top,Flat Top,Straight,"0.5"" RS Straight HDS605","0.5""","Standard range of belt widths in increments of 1"" (25.4mm) starting from 5"" (127mm) Non standard widths are offered in increments of 0.5"" (12.7mm) starting from 3"" (76.2mm) upon request. Material selection may affect belt width — please contact your local partner for actual dimensions.",0.31,Snap Fit,0.17,Closed hinge,0.75,,,"TT605_HDS605_HDS610_CVT610 <a href=""https://tdm.habasit.com/tds/installation_FLYERS/en-us/TT605_HDS605_HDS610_CVT610_en.pdf"">PDF </a>",,,Habasit America (Leesport),Jeff Delair
